year,pv_total_kw,pv_new_kw,ess_total_kwh,ess_new_kwh,capex,npv,npv_discounted
2025,135.60915074152132,135.60915074152132,0.0,0.0,23313231.948525585,-31021451.20152929,-31021451.20152929
2030,535.7322129059844,400.1230621644631,0.0,0.0,25868253.085571002,-33744496.54799085,-28411960.622558396
2035,1558.5606574454284,1022.828444539444,5.831676685791813,5.831676685791813,29404076.676532496,-37048627.209614165,-26264468.851015262
2040,2291.266005021261,732.7053475758327,63.70139802631578,57.86972134052397,32798430.652614474,-40762125.51138137,-24330530.312950373
2045,2436.58697251728,145.32096749601934,145.2203879058026,81.51898987948682,35704866.38976733,-44544137.55242772,-22386363.885281827
2050,3078.1747251609577,641.5877526436774,303.7327669562606,158.512379050458,39443273.494981766,-48656786.208691604,-20588972.59176136
