time,bev0,bev0,bev0,bev0,bev0,bev0,bev1,bev1,bev1,bev1,bev1,bev1,bev10,bev10,bev10,bev10,bev10,bev10,bev11,bev11,bev11,bev11,bev11,bev11,bev12,bev12,bev12,bev12,bev12,bev12,bev13,bev13,bev13,bev13,bev13,bev13,bev14,bev14,bev14,bev14,bev14,bev14,bev15,bev15,bev15,bev15,bev15,bev15,bev16,bev16,bev16,bev16,bev16,bev16,bev17,bev17,bev17,bev17,bev17,bev17,bev2,bev2,bev2,bev2,bev2,bev2,bev3,bev3,bev3,bev3,bev3,bev3,bev4,bev4,bev4,bev4,bev4,bev4,bev5,bev5,bev5,bev5,bev5,bev5,bev6,bev6,bev6,bev6,bev6,bev6,bev7,bev7,bev7,bev7,bev7,bev7,bev8,bev8,bev8,bev8,bev8,bev8,bev9,bev9,bev9,bev9,bev9,bev9
time,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist
2021-09-10 02:15:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 02:30:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 02:45:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 03:00:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 03:15:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 03:30:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 03:45:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 04:00:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 04:15:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 04:30:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 04:45:00+02:00,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
2021-09-10 05:00:00+02:00,True,0,0.0,False,False,0.0,False,0,46850.46640126662,False,False,36809.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0,True,0,0.0,False,False,0.0
