year,pv_total_kw,pv_new_kw,ess_total_kwh,ess_new_kwh,capex,npv,npv_discounted
2025,0.0,0,10.0,0,569300.0,-448815.4532993382,-448815.4532993382
2030,0.0,0,10.0,0,569300.0,-449181.40876113833,-291937.0956955703
