time,power_w
2025-01-02 06:15:00+0100,29774.728515625
2025-01-02 06:30:00+0100,32154.951171875
2025-01-02 06:45:00+0100,38653.8984375
2025-01-02 07:00:00+0100,47404.02734375
2025-01-02 07:15:00+0100,39280.73828125
2025-01-02 07:30:00+0100,38896.15234375
2025-01-02 07:45:00+0100,41081.109375
2025-01-02 08:00:00+0100,46540.30859375
2025-01-02 08:15:00+0100,44768.921875
2025-01-02 08:30:00+0100,49161.15234375
2025-01-02 08:45:00+0100,38828.76953125
2025-01-02 09:00:00+0100,39935.484375
2025-01-02 09:15:00+0100,51581.03515625
2025-01-02 09:30:00+0100,39618.359375
2025-01-02 09:45:00+0100,41388.14453125
2025-01-02 10:00:00+0100,40090.421875
2025-01-02 10:15:00+0100,48613.1796875
2025-01-02 10:30:00+0100,42129.97265625
2025-01-02 10:45:00+0100,41621.78125
2025-01-02 11:00:00+0100,41369.4375
2025-01-02 11:15:00+0100,42230.1796875
2025-01-02 11:30:00+0100,52556.30078125
2025-01-02 11:45:00+0100,36244.7421875
2025-01-02 12:00:00+0100,48526.078125
2025-01-02 12:15:00+0100,40797.953125
2025-01-02 12:30:00+0100,39036.51953125
2025-01-02 12:45:00+0100,39695.04296875
2025-01-02 13:00:00+0100,41601.1640625
2025-01-02 13:15:00+0100,39357.1328125
2025-01-02 13:30:00+0100,40679.9921875
2025-01-02 13:45:00+0100,38409.8125
2025-01-02 14:00:00+0100,41056.6796875
2025-01-02 14:15:00+0100,41315.46484375
2025-01-02 14:30:00+0100,37632.91015625
2025-01-02 14:45:00+0100,37408.7890625
2025-01-02 15:00:00+0100,35211.57421875
2025-01-02 15:15:00+0100,35415.359375
2025-01-02 15:30:00+0100,37275.51171875
2025-01-02 15:45:00+0100,37858.15625
2025-01-02 16:00:00+0100,40827.47265625
2025-01-02 16:15:00+0100,39491.22265625
2025-01-02 16:30:00+0100,40573.55859375
2025-01-02 16:45:00+0100,41819.02734375
2025-01-02 17:00:00+0100,42647.32421875
2025-01-02 17:15:00+0100,40657.984375
2025-01-02 17:30:00+0100,40067.69921875
2025-01-02 17:45:00+0100,35361.50390625
2025-01-02 18:00:00+0100,32300.101562499996
2025-01-02 18:15:00+0100,32567.894531249996
2025-01-02 18:30:00+0100,31064.677734375
2025-01-02 18:45:00+0100,30650.3984375
2025-01-02 19:00:00+0100,28115.875
2025-01-02 19:15:00+0100,28530.109375
2025-01-02 19:30:00+0100,28147.01171875
2025-01-02 19:45:00+0100,28102.861328125
2025-01-02 20:00:00+0100,26962.3203125
2025-01-02 20:15:00+0100,17643.95703125
2025-01-02 20:30:00+0100,14653.025390625
2025-01-02 20:45:00+0100,19010.01953125
2025-01-02 21:00:00+0100,15950.798828125
2025-01-02 21:15:00+0100,15721.244140625
2025-01-02 21:30:00+0100,19926.67578125
2025-01-02 21:45:00+0100,12322.6357421875
2025-01-02 22:00:00+0100,19884.7265625
2025-01-02 22:15:00+0100,15852.341796875
2025-01-02 22:30:00+0100,19500.1484375
2025-01-02 22:45:00+0100,12641.248046875
2025-01-02 23:00:00+0100,16822.427734375
2025-01-02 23:15:00+0100,15921.8974609375
2025-01-02 23:30:00+0100,13292.314453125
2025-01-02 23:45:00+0100,18543.80859375
2025-01-03 00:00:00+0100,10613.9580078125
2025-01-03 00:15:00+0100,16794.001953125
2025-01-03 00:30:00+0100,11948.1474609375
2025-01-03 00:45:00+0100,18429.16015625
2025-01-03 01:00:00+0100,14995.7021484375
2025-01-03 01:15:00+0100,15003.845703125
2025-01-03 01:30:00+0100,17410.12109375
