Run,NPV Total (M€),CAPEX Total (M€),PV 2050 (kWp),ESS 2050 (kWh),Grid 2050 (kW),CO₂ Total (t)
base,-52.90,4.91,0,0,0,564.64
charger_low,-52.90,4.91,0,0,0,564.64
charger_high,-52.90,4.91,0,0,0,564.64
